"code","text","airline","estimated departure","departure","arrival","destination"
"BCS3","Airbus A220-300","Air France","Estimated dep 15:56",2024-02-26 15:45:00,2024-02-26 17:35:00,"Paris Charles de Gaulle Airport"
"A319","Airbus A319-112","Lufthansa","Estimated dep 15:57",2024-02-26 15:45:00,2024-02-26 16:55:00,"Munich Airport"
"32N","","SAS","Estimated dep 15:55",2024-02-26 15:55:00,2024-02-26 16:55:00,"Copenhagen Airport"
"B738","Boeing 737-84P","Corendon Airlines","Estimated dep 17:06",2024-02-26 15:55:00,2024-02-26 21:30:00,"Hurghada International Airport"
"A319","Airbus A319-112","Eurowings","Estimated dep 16:00",2024-02-26 16:00:00,2024-02-26 17:10:00,"Dusseldorf International Airport"
"A320","Airbus A320-232","Wizz Air","Estimated dep 16:00",2024-02-26 16:00:00,2024-02-26 17:50:00,"Belgrade Nikola Tesla Airport"
"B38M","Boeing 737 MAX 8-200","Ryanair","Estimated dep 16:20",2024-02-26 16:05:00,2024-02-26 18:40:00,"Barcelona El Prat Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 16:13",2024-02-26 16:10:00,2024-02-26 18:25:00,"Edinburgh Airport"
"GLEX","Bombardier Global Express XRS",NA,"Estimated dep 16:26",2024-02-26 16:15:00,2024-02-26 17:21:00,"Frankfurt Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 16:45",2024-02-26 16:30:00,2024-02-26 19:30:00,"Valencia Airport"
"E295","Embraer E195-E2","KLM","Estimated dep 16:41",2024-02-26 16:30:00,2024-02-26 17:55:00,"Amsterdam Schiphol Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 16:55",2024-02-26 16:40:00,2024-02-26 19:10:00,"Dublin Airport"
"A319","Airbus A319-131","British Airways","Estimated dep 16:45",2024-02-26 16:45:00,2024-02-26 18:45:00,"London Heathrow Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 16:45",2024-02-26 16:45:00,2024-02-26 18:50:00,"Manchester Airport"
"A320","Airbus A320-214","Lufthansa (Star Alliance Livery)","Estimated dep 16:57",2024-02-26 16:45:00,2024-02-26 17:55:00,"Munich Airport"
"73H","","Turkish Airlines","Estimated dep 16:55",2024-02-26 16:55:00,2024-02-26 20:00:00,"Ankara Esenboga International Airport"
"A320","Airbus A320-232","Wizz Air","Estimated dep 16:55",2024-02-26 16:55:00,2024-02-26 19:15:00,"Skopje International Airport"
"E190","Embraer E190SR","British Airways","Estimated dep 17:00",2024-02-26 17:00:00,2024-02-26 18:55:00,"London City Airport"
